Question,A,B,C,D,Explanation,Answer
From the surgery done below name the scoring used to diagnose this:,Alvarado,Ranson,Apache-11,Bisap,"Ans. a. AlvaradoAlvarado criteria use for acute appendicitis. Table 2: The Alvarado score ScoreSymptomsMigratory RIF pain1 Anorexia1 Nausea and vomiting1SignsTenderness (RIF)2 Rebound tenderness1 Elevated temperature1LaboratoryLeukocytosis2 Shift to left1Total 10Extra MileMantrelsNote: If Alvarado score >7; then it strongly suggestive for acute appendicitis.Ranson, APACHE-II and BISAP: Acute pancreatitis",A
A 25 year old male presents with road traffic accidents with a BP of 100/80mm Hg and a pulse of 84/min. Best fluid for resuscitation is -,Colloid,Crystalloid,Packed RBCs,Whole Blood,"Ans. is 'b' i.e., Crystalloid Protocol for management of hypovolemic shocko ""Initial resucitation requires rapid reexpansion of the cirulating blood volume along with interventions to control ongoing loss.o Volume resuscitation is initated with the rapid infusion of isotonic saline or a balanced salt solution such as Ringers lactate through large bore IV lines. No distinct benefit from the use of colloids have been demonstrated and in trauma patients, it is associated with a higher mortality. The infusion of 2 to 3 It. over 20 to 30 min should restore normal hemodynamic parameters.o Continued hemodynamic instability implies that shock has not been reversed and/or that there are significant ongoing blood or volume losses.o Continued blood loss, with haemoglobin concentration declining to 10 g/dl should initiate blood transfusiono In the presence of severe and for prolonged hypovolemia, inotropic support with dopamine vasopressin or dobutamine may be required to maintain adequate ventricular performance, after blood volume has been restoredo Infusion of norepinephrine to increase arterial pressure by raising peripheral resistance is inappropriate, other than as a temporizing measure in severe shock while blood volume is reexpanded.""",B
Which of the following are seen in chronic lymphedema?,Buffalo hump,Square toes,Stemmer's sign,All of the above,"Signs of Chronic Lymphedema Buffalo hump - Contour of the ankle is lost through infilling of the sub malleolar depressions, a 'buffalo hump' forms on the dorsum of the foot Square toes - Toes appear 'Square because of confinement of footwear Stemmer's sign - Skin on the dorsum of the toes cannot be pinched because of subcutaneous fibrosis",D
Burst abdomen after laprotomy takes place after -,1-2 days,6-9 days,2 weeks,4 weeks,"Ans. is 'b' i.e., 6-9 days ""Dehiscence most often develops 7 to 10 days postopera lively but may occur anytime after surgery, from 1 to more than 20 days."" - Sabistono Burst abdomen or wound dehiscence refers to postoperative separation of the abdominal masculoaponeurotic layers.Factors associated with burst abdomen (abdominal dehiscence)a) Suture material:* Chromic catgut is associated with high incidence of burst abdomen as it gets absorbed very quickly (in 8-9 days). An ideal suture material for abdominal closure should neither disappear nor lose its tensile strength until the wound has regained near-normal tensile strength.* Nonabsorbable, monofilament materials are found to be good.b) Method ofclosure* Single layer closure has lower incidence than multilayer closure* Interrupted suture is better than continuous suture.c) Drainage* Drainage directly through the wound leads to a higher incidence of burst than employing drainage through a separate (stab) incision.d) Incision* Midline & vertical incisions are more prone to burst than transverse incisions.e) Reason for initial operation* Deep wound infection is prone to cause burst abdomen.* Operations on pancreas with leakage of enzymes favours dehiscence.f) Wound complication* Hematoma, infectiong) Increased intraabdominal pressure* Ascites, distended bowel, coughing, vomitingh) General condition of the patient* Obesity, jaundice, malignant disease, hypoproteinemia and anemia predispose burst abd.",B
"A 70 - year old male presents with a C/O fatigue & jaundice. There is no H/O alcohol or liver disease. The liver and spleen are nonpalpable. He has a normocytic, normochromic anemia. The first step in evaluation of this patient is",CT scan of the abdomen,Hepatitis profile,LFT,Abdominal ultrasound,"The first step in evaluating patient with asymptomatic jaundice is to determine whether the increased bilirubin, as evidenced by scleral icterus, is conjugated or unconjugated hyperbilirubinemia. Patients with unconjugated hyperbilirubinemia do not have bilirubin in their urine because unconjugated bilirubin (bound to albumin) is not excreted in the urine; these patients usually have either hemolysis or an enzyme deficiency in the path way for excretion of bilirubin. Conjugated hyperbilirubinemia suggests liver dysfunction and requires fuher assessment",C
Pierre Robbin’s Sequence includes all except ?,Bilateral cleft lip,Airway obstruction,retrognathia,ASD,Pierre Robbin’s Sequence includes unilateral cleft lip.,A
Maximum & minimum score in Glasgow coma scale is ?,15 & 0,14 & 3,15 & 3,15 & 1,".GLASGOW COMA SCALE eye opening verbal response motor response spontaneous -4 oriented -5 obeys commands -6 to speech -3 confused -4 localises pain -5 to pain -2 inappropriate words -3 flexion to pain -4 none -1 incomprehensible words -2 abnormal flexion -3 none -1 extension to pain -2 none -1 maximum score:15 mild head injury:13-15 minimum score: 3 moderate head injury:9-12 severe head injury: less than 8(3-8) (Ref: SRB&;s Manual of Surgery, 5th edition, pg no 1093)",C
Joint involved in rheumatoid ahritis are all EXCEPT:,PIP,DIP,MCP,Cervical spine,DIP REF: Apley's 8th e p. 51-58 Commonly involved joints in RA: Wrist MCP PIP Elbow Knee Ankle MTP Less commonly involved joints: Upper cervical spine with atlanto axial subluxation Hip joint TM joint Subtalar and foot joints Joints not involved in RA: Lumbar spine DIP,B
Radiographic finding of floating teeth can be seen in:,Ectodermal dysplasis,Cleidocranial dysplasia,Osteopetrosis,Histiocytosis - X,"Floating Tooth Sign On radiographic examination of mandible, erosion of the bony alveoli around the teeth, so that they seem to be floating in spaceQ Seen in histiocytosis XQ",D
"During resuscitation, fractured ribs most commonly involve:",2nd -4th ribs,3rd -5th ribs,4th -6th ribs,5th -7th ribs,"Ans. c. 4th -- 6th ribs Reasonable conclusions to be drawn from the literature in relation to rib fractures in adults Rib fractures following CPR in adults are quite common - 30 to 60% of prospective post-moem studies. Post-CPR rib fractures are often bilateral. The site of rib fracture is dependent on: the position of the hands; force used; and method of chest compression (manual or device-assisted). The vast majority (90%+) offractures occur in ribs 2 to 7; fractures in the bony pas of rib numbers 1 and 8 to 10 are possible but probably very rare; it is difficult to see how fractures can occur in rib numbers 11 and 12 following standard manual CPR. The vast majority of fractures (90%+) occur in the anterior third of the bony pa of the rib, some occur in the middle third but - following standard manual CPR - none in the posterior third of the bony pa of the rib. Posterior rib fractures occur following automated band-type CPR. Lateral fractures i.e. those occurring between the anterior and posterior axillary lines, do occur after standard CPR. If a fracture is noted in rib numbers 10 to 12 or in the posterior third of the bony pa of a rib, then non-resuscitation trauma should be suspected. Chest x-ray is unreliable as a diagnostic tool for detecting rib fractures. CT is better than x-ray and may complement the post-moem detection of rib fractures. Fractures are more common On the left side of the chest With increasing age of the patient In females With increasing length of time of resuscitation attempts Following the involvement of untrained persons With the use of ACD-CPR",C
Level II axillary lymph node:,Lateral to pectoralis major and minor,Behind pectoralis minor,Medial to pectoralis minor,Superomedial to pectoralis major,"Level II axillary lymph node is located behind pectoralis minor. Axillary LN Levels in relation with Pectoralis minor Level Relation with Pectoralis minor Axillary LNs Included I Below or lateral Anterior, posterior, lateral II Posterior (behind) Central, Interpectoral (Rotter's nodes) III Medial or above Apical",B
Which of the following is an absolute indication for surgery in cases of benign prostatic hyperplasia ?,Bilateral hydroureteronephrosis,Nocturnal frequency,Recurrent urinary tract infection,Voiding bladder pressures > 50 cm of water,Ans. is 'c' i.e. Recurrent urinary tract infection,C
All of the following decreases the risk of surgical site infection except:,IV antibiotics at induction of anesthesia,Staff should always wash their hands between patients,Preoperative shaving,Avoid hypothermia perioperatively,AVOIDING SURGICAL SITE INFECTIONS: - Staff should be always wash their hands between patients. - Preoperative shaving should be avoided if possible ( Preoperative clipping of hair is preferred ) - Antiseptic skin preparation should be standardized - Attention to theatre technique and discipline - Avoid hypothermia perioperatively and ensure supplemental oxygenatin in recovery.,C
Pseudocyst of pancreas is,Post traumatic cyst,Post inflammatory cyst,Congenital cyst,Neoplastic cyst,"Ans. b (Post-inflammation cyst). (Ref. Bailey & Love, 25th/1138.)PSEUDOCYST OF PANCREAS# A pseudocyst of pancreas is a collection of pancreatic juice enclosed in a wall of fibrous or granulomatous tissue that is usually located in lesser sac region and follows an attack of acute pancreatitis/trauma.# It is not lined by epithelium in contrast to true pancreatic cyst.# A pseudocyst with wall thickness more than 5 mm or size more than 6 cm is a mature pseudocyst and surgical treatment (cystogastrostomy) is indicated.",B
Fever in burnt patient is cause by,Septicemia,Due to hypermetabolism,Toxin released by dead tissue,Dead product,"Fever in burn patients Many of the physiological criteria that has been claimed to reflect sepsis are non-infectious manifestations of post injury hypermetabolism Hypehermia (39degC or greater) is occasionally a febrile a response to infection, paicularly in children, but episodic elevation in temperature are common in uninfected burn patients The hypermetabolism phase mediated by greatly increased levels of catecholamines, prostaglandins, glucagon and coisol occurs after the acute phase and also produces pathophysiological changes Burn patients exhibit increased blood flow to organs and tissues, an increased internal core temperature, hypoproteinaemia and edema formation Ref: Sabiston 20th edition Pgno :516",A
"A 15-year-old boy complains of right-sided weakness and gait impairment. A CT scan shows a large, non-enhancing cyst in the posterior cranial fossa, with an enhancing tumor nodule in the left cerebellum. What is the most likely diagnosis?",An arachnoid cyst,A cystic astrocytoma,Rathke's cleft cyst,Glioblastoma multiforme,"Cystic astrocytoma's are neoplasms of the CNS. They usually consist of a large, non-enhancing cyst on the wall of which is an enhancing tumor nodule. They are most commonly found within the substance of the cerebellar hemispheres of children and young adults. A Rathke's cleft cyst is a remnant of the embryologic Rathke's pouch. These are found within the sella turcica.",B
Best test to diagnose gastroesophageal reflux disease and quantity acid output is,Esohagogram,Endoscopy,Manometry,24 Hr pH monitoring,".for GERD, THE INVESTIGATIONS can be, *24 hours oesophageal pH monitoring is regarded as the gold standard.PPI should be stopped for 3 weeks prior to pH monitoring. *barium study in head down position. *endoscopy to exclude other diseases. *oesophagal manometry to assess the state of lower oesophagal sphincter. Ref: SRB&;s manual of surgery,5th ed, pg no 792",D
In hand injury first structure to be repaired should be?,Skin,Nerve,Muscle,Bone,"Ans is 'd' i.e. Bone CSDT 13/e p1149 writes -""Bone must first be stabilized with K wires or metal plates before vascular repairs are performed. Aerial and venous repairs are done with microscopic magnification, and the ischemic tissue is reperfused."" Sabiston 18/e p1995 writes-""Although control of active hemorrhage is always a top priority, reconstruction of injured vessels must be carefully orchestrated with the management of bone and soft tissue injuries. It is preferable to achieve bone alignment before vascular reconstruction because ohopedic manipulation and reconstruction takes time and may disrupt the vascular repair. Thus, if the limb is not grossly ischemic, reduction and fixation of fractures is performed first. If the limb is ischemic, a temporary intraluminal shunt is inseed to maintain distal perfusion during the ohopedic procedure.""",D
"28-year-old alcoholic patient walks to hospital with the complaints of binge vomiting, chest pain, fever and X ray shows hydropneumothorax. The most probable condition;",Boerhaave syndrome,Tension pneumo thorax,PUD perforation,Mallory Weiss tear,BOERHAAVE Syndrome- Aka Spontaneous esophageal perforation- Caused by* Forceful vomiting* Repeated vomiting- MC site of perforation - Lower 1/3rd of esophagus along Left posterolateral direction- More common in malesClinical features- Characterized by Mackler's triad* Thoracic Pain* Vomiting* Cervical subcutaneous emphysema- In case of massive contamination / inflammation* Fever* SepsisInvestigation- On CXR - Hydropneumothorax- IOC for Dx - Water soluble contrast esophagogram (Gastrograffin > Hypaque) Management- Depends on Time of Presentation Within 24 hours After 24 hours * Golden period of repair Esophagostomy + ICD inseion + feeding jejunostomy * Repair of Perforation + ICD inseion + Feeding jejunostomy Moality rate upto 20% Moality rate > 50%,A
"In traumatic myostis ossificans, following are true except:",Hydroxyapatite deposition,Common in elbow injury,Periosteal hematoma & leakage,All,A i.e. Hydroxypatite deposition,A
X-ray findings specific for exposure to asbestos include,Bilateral pulmonary fibrosis,Pulmonary nodules,Pleural effusion,Pleural calcification,"A common finding in people who have been exposed chronically to asbestos is calcification of the pleura and diaphragm. The pleural calcification is often unilateral. The pattern of calcification is unique and easily differentiated from that caused by trauma and surgery. Calcification of the diaphragm is so rare that this finding is almost pathognomonic for asbestosis. Bilateral fibrosis is not a specific finding in the diagnosis of asbestosis. Although pleural effusion is not specific, its presence in a patient with asbestosis should prompt a search for bronchogenic carcinoma or mesothelioma.",D
Abdominal compament syndrome is characterized by the following except,A.Hypercarbia and respiratory acidosis,B.Hypoxia due to increased peak inspiratory pressure,C.Hypotension due to decrease in venous return,D.Oliguria due to uretic obstruction,"ABDOMINAL COMPAMENT SYNDROME Abdominal compament syndrome (ACS) comprises increasing organ dysfunction or failure as a result of IAH. IAH is present when there is consistent increased IAP greater than 12 mm Hg, determined by a minimum of three measurements conducted 4 to 6 hours apa, measured at the end of expiration in a relaxed patient. ACS may be primary or secondary and develops when IAP is 20 mm Hg or greater, with or without abdominal perfusion pressure less than 50 mm Hg (at least three measurements performed 1 to 3 hours apa); it is associated with failure of oneor more organ systems that was not present previously. caused by acute increase in the intra abdominal pressure caused by accumulation of large amount of fluid i,e blood or edema seen in patients:-. -who have sustained massive abdominal trauma -had an operation for massive abdominal infection -undergone a complicated prolonged abdominal operation the normal intra abdominal pressure is about o cm of water and large amount of fluid accumulation is required before it begins to rise when IAP exceeds 15 cm of water serious physiological problems begin to appear. if IAP exceeds 25 - 30 cm of water life threatening hypoxia and anuric renal failure may occur. ref:: Sabiston 20th edi 307-308",D
Child with midline swelling in the neck most probable diagnosis,Thyroglossal cyst,Thyroid,Cystic hygroma,Dermoid cyst,"Ans. (a) Thyroglossal CystRef: Schwartz 10th edition, Page 1602* Midline masses include thyroglossal duct remnants, thyroid masses, thymic cysts, or dermoid cysts* Thyroglossal cysts account for about 75% of congenital midline swellings in childhood, and they are the most common abnormality of the midline neck seen in children",A
Which of the following liver tumours always merit surgery,Hemangioma,Hepatic adenoma,Focal nodular hyperplasia,peliosis hepatic,".Hepatic Adenomas - * They are common in females. They present as a solitary nodular lesion in the liver. * It is said to be due to use of oral contraceptive pills (OCP's). * It is uncommon in males. * They might turn into malignancy, hence resection is advised. * U/S, CT scan are diagnostic but angiography is needed prior to resection, as it is vascular. * MRI is an ideal tool. * Haemorrhage is more common. * Hepatic adenoma cells are larger, contain glycogen and lipids. They are devoid of bile ducts whereas FNH contains bile duct components. * AFP may be raised if it has turned into malignancy. * Surgical resection is the needed treatment. * OCP should be stopped. Indications for surgical resection: * Rupture of adenomas - 50% * If there is a possibility of turning into malignancy (large adenomas). Kupffer cells are not present in hepatic adenomas ref: SRB&;s manual of surgery,3 rd ed, pg no 539",B
"In the evaluation of a 64-year-old woman with fluctuating neurological signs of ptosis, eleventh and twelfth cranial nerve palsy, and generalized extremity weakness are noted. Edrophonium (Tensilon) given intravenously results in clinical improvement. A computed tomography (CT) scan shows a lesion in the anterior mediastinum, and a biopsy confirms the presence of a thymoma. She should undergo which of the following?",High-dose steroid administration,Irradiation of the anterior mediastinum,Calcium administration,Thymectomy,"The role of thymectomy in treating patients with myasthenia gravis who have a thymoma is well established. The thymus gland is located in the anterior mediastinum and can be approached by a cervical or mediastinal approach. It arises from the third and fourth branchial arches. Thymectomy is frequently advised for patients with myasthenia gravis who do not have a thymoma; however, there are some authorities who would treat these patients initially with an anticholinesterase drug such as pyridostigmine (Mestinon). Corticosteroid therapy may be indicated when thymectomy has failed, but it must be undertaken cautiously, because the drug may precipitate severe weakness. Pneumococcal infections (which may occur after splenectomy performed in children) are not a specific complication noted after thymectomy.",D
Which of the follow ing is false about hepatic duct?,Left hepatic duct formed in umbilical fissure,Caudate lobe drains only left hepatic duct,Right hepatic duct formed by V and VIII segments,Left hepatic duct crosses IV segment,"Ans. b. Caudate lobe drains only left hepatic duct In approximately 80% of the individuals, the caudate lobe drains into both the right and left hepatic ducts.In approx. 80% of the individuals, the caudate lobe drains into both the right and left hepatic ductsQ. In 15%, the caudate lobe drains only into the left hepatic duct. In 5%, the caudate is drained exclusively by the right hepatic duct.Caudate Lobe* Caudate lobe (segment I), lies between the left portal vein and the 1VC and extends to the hepatic venous confluence0.Caudate lobe is unique* It receives blood supply from both the right and left portal pedicles* Bile drain into both right and left hepatic duct0* Venous drainage is directly into IVCdeg* in approx. 80% of the individuals, the caudate Lobe drains into both the right and left hepatic duets0* in 15%. the caudate lobe drains only into the left hepatic duct* In 5%, the caudate is drained exclusively by the right hepatic duct.",B
A posteriorly perforating ulcer in the pyloric antrum of stomach is most likely to produce initial localized peritonitis or abscess formation in which of the following location?,Greater sac,Omental bursa (lesser sac),Right subphrenic space,Hepato renal space (pouch of Morison),"Ulcer in the pyloric antrum of stomach which perforate posteriorly produce peritonitis in the omental bursa (lesser sac). It is difficult to diagnose when perforation occur to lesser sac and patient may not have obvious signs of peritonitis. Ref: Bailey and Love's Sho Practice of Surgery, 23rd Edition, Page 1045.",B
"As per EHS classification, a primary, direct inguinal hernia with 4 cm width would be",PD4,PM4,PD3,PM3,"The European Hernia Society has suggested a simplified system of classificationPrimary or recurrent (P or R);Lateral, medial or femoral (L, M or F);Defect size in fingerbreadths (each finger is assumed to be 1.5 cm.)Ex1) A primary, direct inguinal hernia with 4 cm width would be PM3Ex 2) A Recurrent, indirect, inguinal hernia with a 3-cm defect size would be RL2Ref: Bailey and love 27e pg: 1031",D
Supero-lateral boundary of axillary dissection is?,Clavi-pectoral fascia,Brachial plexus,Axillary artery,Axillary vein,"ANSWER: (D) Axillary veinREF: Grays anatomy, 39th edition, page 841Also see Anatomy Q1 Dec 2010""Axillary node clearance can be defined as clearing the axillary contents bounded by the axillary skin laterally, latissimus dorsi, teres major and subscapularis posteriorly, the lower border of the axillary vein superiorly, pectoralis muscles anteriorly, and the chest wall medially.The levels of axillary nodes are anatomically defined as level one (inferolateral to pectoralis minor), level two (posterior to pectoralis minor) and level three (superomedial to pectoralis minor). In reality, these nodes are in continuity with each other but the concept of axillary node levels is useful when discussing the extent of axillary node surgery""",D
"A 40 year old patient has undergone an open cholecystectomy. The procedure was repoed as uneventful by the operating surgeon. She has 100 ml of bile output from the drain kept in the gallbladder bed on the first post operative day. On examination she is afebrile and anicteric. The abdomen is soft and bowel sounds are normally heard. As an attending physician, what should be your best possible advice?",Order an urgent endoscopic retrograde cholangiography and biliary stenting,Urgent laparotomy,Order an urgent hepatic imino diacetic acid scintigraphy (HIDA),Clinical observation,"Ans. is (d) i.e. Clinical observation 100 ml. of Bile output from the patient on the 1st postop. day without any other abnormality is of no clinical significance, so does not warrant any action from the surgeon. But remember if passing of 100 ml of bile continues for 5-6 days then it is considered abnormal. It denotes bile duct injury. Oxford textbook of Surgery writes ? ""Even after a straightforward cholecystectomy there may be a little bile in the drain the following day."" Textbook of Liver and Biliary Surgery writes ? 'A small amount of biliary drainage following cholecystectomy should cause no alarm because it usually disappears within 1 or 2 days. However, excessive biliary draingae through the wound or drain site, jaundice, sepsis, or a combination of these events early in the post op. period should suggest a bile duct injury, as should copious biliary drainage for more than a few post-op days"".",D
"Duodenal ulcer, true statement is -",Never Malignant,Most-common site is IInd pa,Common in blood group AB,GI bleed not seen,"Answer- A. Never MalignantDuodenal ulcer is more common in persons with blood group'O', i.e., containing no AB antigens with blood group'O"" i'e""containing no AB antigens.Bleeding is more common in duodenal ulcer than in gastric ulcer.",A
The site of mucosal tear in Mallory-Weiss syndrome is,Stomach,Small intestine,Colon,Esophagus,"Forceful vomiting may produce a veical mucosal tear/split in gastric mucosa, immediately below the squamocolumnar junction at the cardiac in 90% cases. Reference Bailey and love&;s edition: 24 page no.999",A
"All of the following are complications of total thyroidectomy, EXCEPT:",Hemorrhage,Hoarseness,Hypercalcemia,Airway obstruction,"ANSWER: (C) HypercalcemiaREF: Bailey 25th ed page 790, Sabiston 18th ed chapter 36, Washington manual of surgery 5th ed page 347 COMPLICATIONS OF TOTAL THYROIDECTOMYBleedingand wound hematomasA tension haematoma deep to the cervical fascia is usually due to reactionary haemorrhage from one of the thyroid Arteries.Require immediate re-exploration This is very rarely due to collapse or kinking of the trachea (tracheomalacia). Most cases are caused by laryngeal oedema. The most important cause of laryngeal oedema is a tension haematoma.TransientHypocalcemiaCommonly occurs 24 to 48 hours after thyroidectomy but infrequently requires treatment.Markedly symptomatic or serum calcium < 7 mg/dL are given 1-2 ampules (10 to 20 mL) of 10% calcium gluconate IV over 1 to 2 min, followed by temporary' oral calcium carbonate (500 mg orally TDS).More prolonged IV replacement by mixing 6 ampules of 10% calcium gluconate in dextrose 5% in water (D5W), 500 mL, for infusion at 1 mL/kg'hour.PermanentHypocalcemiaPermanent hypoparathyroidism is uncommon after total thyroidectomy. Incidence of permanent hypoparathyroidism is < 1%. Present dramatically 2-5 days after operation. Normal parathyroid tissue removed or devascularized at the time of total thyroidectomy must be minced into 1 x 3-mm fragments and autotransplanted into individual muscle pockets in the sternocleidomastoid muscle to maximize the chances that the patient will not develop postoperative hypoparathyroidismRLN injuryUnilateral RLN injury causes hoarseness, and bilateral injury compromises the airway, necessitating tracheostomy. Unilateral or bilateral recurrent nerve paralysis will not cause immediate postoperative respiratory obstruction unless laryngeal oedema is also present but it wall aggravate the obstruction. RLN palsy rate of 1.8% at 1 month declining to 0.5% at 3 months for first-time operations. RLN can be repaired primarily or with a nerve graftSuperior laryngeal nerve injuryVoice changes, huskiness, poor volume voice fatigue, and inability to sing at higher rangesThyroidinsufficiencyTnis results from a change in the autoimmune response, from stimulation to destruction of the thyroid cells.Thyrotoxic crisis (storm)It occurs if a thyrotoxic patient has been inadequately prepared for thyroidectomy and is now extremely rare. Symptomatic & supportive treatment is for dehydration, hyperpyrexia & restlessness.Specific treatment is with carbimazole 10-20 mg 6-hourly, Lugol's iodine 10 drops 8-hourly by mouth or sodium iodide 1 g IV. Propranolol TV (1-2 mg) or orally (40 mg 6-hourly) will block P-adrenergic effects.WoundinfectionCellulitis requiring prescription of antibiotics, often by the general practitioner, is more common than most surgeons appreciate. A significant subcutaneous or deep cervical abscess is exceptionally rare and should be drainedHypertrophicor keloid scarThis is more likely to form if the incision overlies the sternum and in dark-skinned individuals. Intradermal injections of corticosteroid should be given at once and repeated monthly if necessary.StitchgranulomaThis may occur with or without sinus formation and is seen after the use of nonabsorbable, particularly silk, suture material. Absorbable ligatures and sutures must be used throughout thyroid surgery. Skin staples , if used, can be removed safely in less than 48 hours because the skin closure is supported by the platysma stitch.",C
CA prostate metastasizes to the vertebrae by,Direct spread,Lymphatic spread,Batson’s plexus,All of the above,Through Batson’s periprostatic plexus prostate Ca spreads to verterbra.,C
"A young college student injures his left knee while playing football and is unable to bear weight. The provisional x-ray report indicates that there are no fractures seen. He is discharged home but presents the next morning to the emergency department with a severely swollen, painful left knee and severe pain in the foot. On examination, the foot is pale, cold, and pulseless. What is the most likely diagnosis?",Traumatic deep vein thrombosis,Gastrocnemius muscle tear,Traumatic arteriovenous fistula,Posterior knee dislocation with thrombosed popliteal artery,"Normal radiographic findings in the presence of severe knee trauma should raise suspicion for posterior dislocation of the knee, which is often associated with popliteal artery thrombosis. A careful vascular examination should, therefore, be made in such a situation. The presence of pain, pallor, and pulselessness (three of the five p's) is indicative of severe ischemia. This patient should undergo urgent exploration for vascular repair. The other options are unlikely to cause the signs and symptoms presented.",D
In submandibular gland excision all of the following nerves may be affected except,Lingual nerve,Hypoglossal nerve,Glossopharyngeal nerve,Mandibular division of trigeminal nerve,Ans. (c) Glossopharyngeal nerveRef: Bailey and Love 27th edition Page 780The following nerves are at risk during Submandibular surgery:2 Superficial nerves:* Marginal Mandibular branch of Facial nerve* Rarely Cervical Branch of Facial nerve* 2 Deep Cranial nerves:* Lingual Nerve* Hypoglossal nerve,C
A child is passing blood with act of defecation. The probable diagnosis is,Juvenile rectal polyp,Adenomatous Polyposis,Rectal ulcer,Post Surgery,Ans. (a) Juvenile rectal polypRef : Bailey & Love 26th ed. /1224The most common cause of bleeding per rectum in children is juvenile rectal polyp up to adolescence age. Though in infants and young children (up to 1 yrs) the cause is anal fissure.,A
A 57 year old man is seen in clinic for a chronic cough. Chest x-ray demonstrates a lung mass; bronchoscopy with bronchial lavage and biopsy reveals a tumor composed of small neoplastic cells with prominent crush aifact that do not stain with immunohistochemical stains for lymphocyte common antigen (LCA). Which of the following oncogenes has been associated with this tumor?,bcl-2,erb-2,L-myc,N-myc,"The presence of a lung mass suggests carcinoma. The small size of the neoplastic cells suggests that the tumor may be small cell carcinoma (oat cell carcinoma). The other possibility on morphologic grounds is lymphoma, but lymphoma can be excluded by the negative LCA study. The oncogene associated with small cell carcinoma of the lung is L-myc. bcl-2 is associated with follicular and undifferentiated lymphomas. erb-2 is associated with carcinomas of the breast, ovary, and stomach. N-myc is associated with neuroblastoma. Ref: Nason K.S., Maddaus M.A., Luketich J.D. (2010). Chapter 19. Chest Wall, Lung, Mediastinum, and Pleura. In F.C. Brunicardi, D.K. Andersen, T.R. Billiar, D.L. Dunn, J.G. Hunter, J.B. Matthews, R.E. Pollock (Eds), Schwaz's Principles of Surgery, 9e.",C
"With the knowledge of anatomy of the pelvis and perineum, which of the following is true regarding collection of urine in urethral rupture above deep )erineal pouch?",Medial aspect of thigh,Scrotum,True pelvis only,Anterior abdominal wall,Ans. c. True pelvis only,C
Berry aneurysms are associated with all except:,Marfan's syndrome,Ehler Danlos syndrome,ADPKD,None of the above,"Increased risk of Berry aneurysm is seen with :

Marfan's syndrome
Ehler Danlos syndrome
ADPKD
NF-1
Fibromuscular dysplasia",D
The following is/are true of a descending aoic dissection:,It originates distal to the subclan aery.,It is usually found in hypeensive patients.,It may extend the entire length of the aoa.,All of the above,Descending Aoa dissections Almost always seen in hypeensive patients. Diagnosis is made by locating the tear in the aoa distal to the left subclan aery. Type III dissections may involve only the descending thoracic aoa but can extend the entire length of the aoa.,D
"45 yr old male with H/o repeated attacks of UTI, X-ray KUB showing radio opaque shadow -",Ureteric pathology,Prostate pathology,Testicular pathology,Stricture urethra,"Ans. is 'a' i.e., Ureteric pathology Ureteric Stones* Almost always associated with UTI* Usually radio opaque X ray KUB* CT KUB is the gold standard for imaging ureteric stones, with the vast majority (99%) being radiodense. Stones > 1 mm in size are visualised, with the specificity of helical CT as high as 100%* Calculi size and location as well as ureter anatomy are important factors in determining likelihood of spontaneous calculi passage with stones less than 5 mm having high likelihood of passing down the ureter. However even small calculi may be impossible to pass if it is located at the pelvicoureteric junction or in patients with ureteral strictures. Passage of calculi may be facilitated with tamsulosin and nifedipine.* In calculi >10 mm or with failed conservative management, urological procedures such as extracorporeal shock wave lithotripsy (ESWL), ureteroscopic lithotripsy or percutaenous nephrostomy may be required.",A
Coisol level returns to normal ..... after haemorrhage,2 weeks,10 days,7 days,3 days,"Ans. is 'd' i.e., 3 days",D
An AIDS patient presents with fistula - in- ano. His CD4 count is below 50. What is the treatment of choice -,Seton,Fistulectomy,None,Both,"Ans. is 'a' i.e., Seton",A
Most common cause of peritonitis in adult male is:,Abdominal tuberculosis,Duodenal ulcer perforation,Enteric perforation,Perforated appendix,"Peritonitis The most common cause is a perforation of the abdominal viscous-most commonly, a perforated ulcer, may occur as a result of perforation of any pa of the bowel; other causes include a benign ulcer, a tumor, or trauma MC cause of peritonitis in adult male: Peptic ulcer perforation . It is usually poly-microbial - E. coli (aerobe) ; Bacteroides fragilis (anaerobe) . Treatment - Exploratory laparotomy + peritoneal lavage + repair of perforation / stoma formation",B
Commonest symptom associated with thoracic outlet syndrome is:-,Intermittent claudication,Pain in radial distribution,Pain in ulnar distribution,Gangrene,"Clinical Features In > 90% of cases, neurogenic manifestations are repoed. Ulnar nerve (C8-T1) involvement is most common Motor weakness and atrophy of the hypothenar and interosseous muscles Pain and paresthesia along the medial aspect of the arm, hand, 5th finger and medial aspect of 4th finger.",C
"The best guide to adequate tissue perfusion in the fluid management of a patient with burns, is to ensure a minimum hourly urine output of",10 -15 ml,15 - 30 ml,30 - 50 ml,50 - 80 ml,0.5 - 1 ml / kg / hour is the urine output maintained in burns.,C
