Question,A,B,C,D,Explanation,Answer
Metabolic abnormalities associated with Congenital Pyloric Stenosis in the early phase include all EXCEPT:,Hypokalemia,Aciduria,Hypochloremia,None of these,"Aciduria REF: Bailey and love 25th edition page 79, Fundamentals of Pediatric Surgery by Peter Mattei Page 341, Clinical cases in surgery - Michelle Li, Stephanie C. Lin, Aaron B. Caughey Page 104 'The classical electrolyte abnormality associated withpyloric stenosis is hypokalemic, hypochloremic metabolic alkalosis, presumably due to ongoing gastric acid loss from vomiting. Paradoxical acidurea is sometimes noted (with progressive Hypokalemia and hypovolemia) because the kidney excretes protons in exchange of sodium in an attempt to conserve fluid' NOTE: Paradoxical aciduria is seen only after body stores of Sodium & Potassium get depleted. Initially there is alkaliuria, not aciduria.",B
The patient with least risk of pulmonary aspiration of gastric contents during induction of anesthesia is:-,Markedly obese and NPO for eight hours,Fed coffee four hours before elective surgery,Scheduled for elective cesarean delivery and NPO for 20 hours,NPO for four hours after a full meal,"NPO is same for obese and normal. NPO guidelines - 6hrs for liquid and semisolid, 2 hours NPO for clear fluids. Subset of patients who are at high risk for aspiration - pregnant women, morbidly obese (rapid sequence induction), full fatty meal - 8 hours NPO.",A
Erythroplasia of Queyrat occurs in: September 2008,Scrotum,Testes,Penis,Bladder,"Ans. C: Penis Paget's disease/Erythroplasia of Queyrat is a carcinoma in situ that mainly occurs on the glans penis, the prepuce, or the urethral meatus of elderly males. The cause of erythroplasia of Queyrat is largely unknown. Human papillomavirus type 16 DNA has previously been detected only in very few distinctly characterized patients Up to 30% progress to squamous cell carcinoma. Treatment is by circumcision, observation and excision if the lesion does not resolve.",C
In Pylorus preserving type of Pancreaticoduodenectomy structure not resected is:,Pyloric antrum,CBD,Duodenum,None.,Ans. (a) Pyloric AntrumRef: Sabiston Page 1549/ 20th edition* Pylorus Preserving Pancreaticoduodenectomy - Pyloric antrum is preserved * In this surgery there is a reduced incidence of Post; pancreatectomy dumping and Bile reflux,A
The following are important in the maintenance of normal fecal continence except -,Anorectal angulation,Rectal innervation,Internal sphincter,Haustral valve,"Normal fecal continence requires

adequate rectal wall compliance to accommodate the fecal bolus.
appropriate neurogenic control of the pelvic floor and sphincter mechanism, and
functional internal and external sphincter muscles

At rest the puborectalis muscle creates a 'sling' around the distal rectum, forming a relatively acute angle (Anorectal angle). Anorectal angle distributes intraabdominal forces onto the pelvic floor and play an important role in the continence mechanism. At the time of defecation, this angle straightens, allowing the downward force to be applied along the axis of the rectum and anal canal.
The internal & external sphincters are tonically active at rest.

the internal sphincter is responsible for most of the resting, involuntary sphincter force
the external sphincter is responsible for voluntary sphincter force.
Both the internal and external sphincters are innervated by pudendal nerve.
Finally, the hemorrhoidal cushions may contribute to continence by mechanically blocking the anal canal.
Thus impaired continence may result from :
poor rectal compliance
injury to internal and/or external sphincter or puborectalis, or
nerve damage or neuropathy",D
"Classic triad inRenal cell carcinoma includes all of the following, Except:",Hematuria,Hypeension,Flank mass,Abdominal Pain,Hypeension may be seen in patients with Renal cell carcinoma but it does not firm pa of the classically described triad. Classic Triad of Renal cell carcinoma (seen in 10-20% of patients) Hematuria (Gross) Pain (Abdominal / Flank) Mass (Abdominal /Flank) Ref : Bailey and love surgery text book 27th Ed.,B
True about abdominal compartment syndrome include the following except:,>15 cm of H2O,Decreased pulmonary venous pressure,IAP Measured using Foley's catheterization of bladder,"With >25-30 mm Hg IAP, life threatening hypoxia and ARDS can occur","Ans. (b) Decreased pulmonary venous pressure* Choice a: CVP >150cmH2 O- Correct* Choice b: Decreased pulmonary venous pressure - wrong - pulmonary Venous pressure, PCWP, Pulmonary artery pressure, CVP are all increased* Choice C - IAP is measured via Foley's catheter - Correct * Choice d - ARDS starts at pressures above >30mmHg is correct",B
Initial investigation of choice in obstructive jaundice is,USG,ERCP,CT scan,PTC,"Transabdominal ultrasound scan is universally established as the most useful first line imaging study in the jaundiced adult.It provides an excellent evaluation of liver parenchyma & assessment of the presence/absence of bile duct dilatation. Reference:SRB's manual of surgery,5th edition,page no:656.",A
True regarding erysipelas is all except,Acute spreading inflammation of outer dermis,Superficial Lymphatics involved,Rash is due to exotoxin of streptococcus pyogenes,Scrotum and hands are most common sites,"Most common sites of erysipeals is orbit, Face and ear Lobule.",D
A.M.L. with worst prognosis,8/21 translocation,Inversion 16,Normal cytogenetics,Monosomy 7,"Monsomy 7 [Ref Harrison 17th/e p 680 & leh/e p 6341 There are number of factors which determine the prognosis in A.M.L. In a number of studies in last 2 decades it has been observed that cytogenetic markers are major determinants in assessment of prognosis. Prognosis of Acute Myeloid leukemia . t (8 ; 21),Q * Good prognosis * inv (16) ordeg . t (15 ; 17)Q * Moderately ourable outome . No cytogenetic abnormalitydeg . inv (3),deg * Monosomy 7 presence deg of PTD of MLL or 1TD of FLT 3 * Poor prognosis . Uq 23,deg . 3q21,deg . 3q26deg Prognostic factors in Acute Myeloid leukenia Factors Favorable Unorable . Age <45 years < 2 year, > 60 years . Leucocytosis 25 x RP/LQ > 100 x lOYL . CNS involvement AbsentQ Present . Response to therapy Rape& Delayed/incomplete . Auer rods Present Absent . FAR type M2, B3 M4E0 M5, M6, M7 . Cell markers CD2or CD19 CD13, CD14, CD33 . Cytogenetics t (15:17)Q in M3 -7; del (7q), -50 t (8:21) in M2 del (sq)Q, 11q23 inv( 16) del(16q) abnormalities 3q21 and 3q26 abnormalities complex karyotypic abnormalities",D
All are true about Transtracheal Jet ventilation through 14 gauge IV venflon except,High rate,High Flow,Can be given through endotracheal tube,Can be given through cricothyrotomy,"Transtracheal jet ventilation (Emergency pathway) Take a wide bore cannula 14-16G and put it between thyroid & cricoid cailage (Cricothyroid membrane) And connect it to 3cc syringe, which is connected to standard endotracheal tube connector Through this standard connector, we give O2 on high flow, high rate ,hence patient gets ventilated. Temporary way of giving O2. Risk profile : Pneumothorax, pneumomediastinum, bleeding, infection, and subcutaneous emphysema. Absolute contraindications : Upper airway obstruction or any disruption of the airway",C
Schmorl's nodule is a radiographic finding seen in:,Spondylolithiasis,Ankylosing spondylitis,Interveebral disc prolapse,Fracture of transverse process veebra,"Schmorl's node (SN) is the herniation of nucleus pulposus (NP) through the cailaginous and bony end plate into the body of the adjacent veebra. They appear as shallow concavities along the superior and inferior endplates of veebral bodies and are often detected incidentally. Ref: Spinal Imaging: Diagnostic Imaging of the Spine and Spinal Cord, edited by Johan W. M. van Goethem, Page 351.",C
Which of the following is the classical triad of Budd-Chiari syndrome?,"Fever, jaundice, abdominal pain","Fever, ascites, jaundice","Hepatomegaly, abdominal pain, ascites","Abdominal pain, jaundice, hepatomegaly",Classical triad of Budd - Chiari syndrome is Ascites Hepatomegaly (Mnemonic - AsHA) Abdominal pain Etiology of Budd - Chiari syndrome: Hepato-venous outflow obstruction caused by Hepatic venous Thrombosis /IVC obstruction Acutely obstruction results in tender hepatomegaly. Chronically liver is atrophied but caudate lobe will be hyperophied IOC for diagnosis - venography TOC in hepatic failure - liver transplantation TOC in Hepatic vein thrombosis - shunt - preferred shunt is side to side poocaval shunt,C
The first step when doing a penumononectomy for cancer of the bronchus is to -,Ligate the pulmonary vein,Ligate pulmonary artery,Divide the bronchus,Perform lymphnode clearance,"• Pneumonectomy is anatomically more straightforward than lobectomy (in carcinoma bronchus):
• The pulmonary artery is first dissected, divided and sutured.
• The pulmonary veins are then isolated, divided and sutured.
• The main bronchus is divided so that no blind stump remains. The technique of stump closure is important if a bronchopleural fistula is to be avoided. The tissues are carefully handled and the stump is usually stapled.",B
"In superficial second degree burns, re-epithelialisation occurs around:",<1 week,2 weeks,3 weeks,4 weeks,Characterstics of Superficial Second Degree Burns Involve upper layer of dermis ( Papillary dermis) Erythematous BLISTERS are seen Blanch on touch Painful Heals without scarring in 7-14 days,B
"A patient presented with blunt abdominal injury underwent complete repair of liver; and was given transfusion of 12 units of whole blood. Thereafter, it is found that wound is bleeding. It is treated by",Calcium gluconate/calcium chloride,Fresh Frozen Plasma,Vitamin-K,Platelets rich plasma,"(D) Platelets rich plasma > Massive Transfusion is usually defined as the need to transfuse from one to two times the patient's normal blood volume. In a 'normal' adult, this is the equivalent of 10-20 units. Potential complications from this include coagulopathy, citrate toxicity, hypothermia, acid-base disturbances and changes in serum potassium concentration. Coagulopathy is common with massive transfusion. The most common cause of bleeding following a large volume transfusion is dilutional thrombocytopenia. This should be suspected and treated first before moving on to factor deficiencies as the cause of coagulopathy. Patients who may require multiple transfusions are best second by receiving SPAP and leucocyte reduced components to lower the risk of autoimmunization. Citrate toxicity results when the citrate in the transfused blood begins to bind calcium in the patient's body. Clinically significant hypocalcemia does not usually occur unless the rate of transfusion exceeds one unit every five minutes or so. Citrate metabolism is primarily hepatic - so hepatic disease or dysfunction can cause this effect to be more pronounced. Treatment is with intravenous calcium administration - but identification of the problem requires a high index of suspicion. Hypothermia should not occur on a regular basis. Massive transfusion is an absolute indication for the warming of all blood and fluid to body temperature as it is being given.Acid-Base balance can be seen after massive transfusion. The most common abnormality is a metabolic alkalosis. Patients may initially be acidotic because the blood load itself is acidic and there may be a prevailing lactic acidosis from hypoperfusion. However, once normal perfusion is restored, any metabolic acidosis resolves and the citrate and lactate are then converted to bicarbonate in the liver. Serum potassium can rise as blood is given. The potassium concentration in stored blood increases steadily with time. The amount of potassium is typically less than 4 milliequivalents per unit - so you can see that large amounts of blood at a high rate of delivery is required to raise serum levels of potassium.",D
"A middle-aged man presents with congestive hea failure with elevated liver enzymes. His skin has a grayish pigmentation. The levels of liver enzymes are higher than those usually seen in congestive hea failure, suggesting an inflammatory process (hepatitis) with scarring (cirrhosis) of the liver. A liver biopsy discloses a marked increase in iron storage. In humans, molecular iron (Fe) is",Stored primarily in the spleen,Stored in combination with ferritin,Excreted in the urine as Fe2 positive,Absorbed in the intestine by albumin,"Ferrous iron (Fe2+) is the form absorbed in the intestine by ferritin, transpoed in plasma by transferrin, and stored in the liver in combination with ferritin or as hemosiderin. There is no known excretory pathway for iron, either in the ferric or ferrous form. For this reason, excessive iron uptake over a period of many years may cause hemochromatosis, the likely diagnosis for this man. This is a condition of extensive hemosiderin deposition in the liver, myocardium, pancreas, and adrenals. The resulting symptoms include liver cirrhosis, congestive hea failure, diabetes mellitus, and changes in skin pigmentation.",B
"All of the following are true about Duret hemorrhage, EXCEPT:",Seen in conjunctiva,ICT increase,Cushing's triad,Seen in brain,"Duret haemorrhage: 'Progressive rise in ICP cause fuher downward herniation into the foramen magnum or coning. This result in shearing of perforators supplying the brain stem causing haemorrhage known as duret haemorrhage. Tractional damage to pituitary stalk can result in diabetes insipidus. With progressive herniation the pupils become midsize & non reacting. These are invariably irreversible events leading to brainstem death'. In case of increased ICP downward herniation of brainstem occur, which cause stretching of perforators of basilar aery & may results in bleed (duret haemorrhage). The local syndrome may include cushing's triad (aerial hypeension, bradycardia & respiratory irregularity). Duret haemorrhage is small area of bleeding in ventral & paramedian pa of upper brainstem (midbrain and pons). It usually indicates a fatal outcome, however survival has been repoed. Diagnosis is made on CT or MRI'. Ref: Love & Bailey, 24th Edition, Page 611; Operative Neurological Techniques by Henry, 5th Edition, Page 35",A
Most common cause of ruheosis iridis ?,Tumor,CRAO,Radiation retinopathy,Diabetic retinopathy,"Ans. is 'd' i.e., Diabetic retinopathy Causes of rubeosis iridis (neovascularization of iris) Common :- Diabetic retinopathy (most common cause), central retinal vein occlusion, Eale's disease, sickle-cell retinopathy. Rare causes :- Long standing retinal detachment, central retinal aery occlusion, intraocular inflammation (uveitis), intraocular tumors (choroidal melanoma, retinoblastoma), radiation retinopathy, ocular ischemic syndrome (carotid aery disease, carotid-cavernous fistula).",D
The given manifestation is the most common symptom of which of the following neuroendocrine tumor of pancreas?,Insulinoma,Glucagonoma,Gastrinoma,Somatostatinoma,The image shows Central necrosis & Peripheral Erythema 'Necrolytic Erythema Migrans'. It is the most common manifestation of Glucagonoma Glucagonoma / Hyperglycemic Cutaneous Syndrome. 4 D Syndrome Diabetes Mellitus - Dermatitis (M.C symptom) 'Necrolytic Erythema Migrans' DVT Depression M.C site of tumor - Body & Tail of pancreas. Malignant Rx of choice: Distal Pancreatectomy.,B
A newborn baby was brought with the history multiple episodes of bilious projectile vomiting. X-ray abdomen was done. What is the diagnosis?,Duodenal atresia,Jejunal atresia,Ileal atresia,Hyperophic pyloric stenosis,Single bubble appearance: Hyperophic pyloric stenosis Double bubble appearance: Duodenal atresia & annular pancreas Triple bubble appearance: Jejunal atresia,B
M.C. site for secondary metastasis in a case of Hypernephroma -,Adrenal,Lungs,Brain,Bones,"Bailey and Love writes - 'The Renal cell Ca is prone to grow into the renal vein. Pieces of growth are swept into the circulation and end up in the lung where they grow to form cannon-ball secondary deposits. Metastasis to bone also occurs. Highly vascular metastasis may pulsate.'
Also Remember
MC site of metastasis from lung Ca → Adrenals next is Liver, Brain
MC site for distant metastasis from Bladder Ca → Vertebrae
MC site for distant metastasis from Colorectal Ca → Liver
MC site for distant metastasis from Melanoma (cutaneous) → Skin/subcutanous tissue, Lung
MC site for distant metastasis from Melanoma (Ocular) → Liver
MC site for distant metastasis from Prostate → Bonesstas
MC site for distant metastasis from Soft tissue sarcoma → Lung
MC site for distant metastasis from Testis Ca → Lung
MC site for distant metastasis from Thyroid Ca → Bone, Lung 
Metastasis to lung is most commonly from → Breast Ca",B
Human papillomavirus is most commonly associated with,Rectal polyps,Prostate cancer,Condyloma acuminatum,Hepatic carcinoma,"Papillomavirus infects the skin or mucosa and causes benign tumors. The lesion is termed condyloma acuminatum. These tumors may undergo malignant conversion and become squamous cell carcinomas. Classification of the human papillomavirus is done by DNA hybridization, and to date 46 types have been recognized. Some types, such as 16 and 18 are more frequently associated with carcinoma, while others, such as 6 and 11, are associated with benign tumors or was.",C
M.C. nerve used for monitoring during anaesthesia –,Ulnar nerve,Facial nerve,Radial nerve,Median nerve,In anaesthetic practice neuromuscular block monitored recording contractile responses of thumb muscle (adductor pollicis) to transcutaneous ulnar nerve stimulation. Facial nerve stimulation of orbicularis oculi is the second most common.,A
Which of the following side effects are seen with etomidate-,"Myoclonus, Adrenal suppression, Haemodynomic imbalance(HI)","Myoclonus, adrenal suppression, pain on IV injection","Pain on IV injection, Adrenal suppression, HI","Pain on IV injection, HI ,Myoclonus.","Etomidate a intravenous anaesthetic agent is Milky white in colour , imidazolone derivative, causes pain on iv injection. Major advantages over other intravenous agents is cardiovascular stability thus use cardiac compromised patients Routinely not in clinical use since it is adrenal suppressant. Other side effects myoclonus and increased nausea and vomiting.",B
The most potent synthetic opioid is,Remifentanil,Sufentanil,Alfentanil,Fentanyl,"Sufentanil has a high affinity for the mu receptor, higher than that of any other opioid.",B
Whipple's operation is done for,Chronic pancreatitis,Acute pancreatitis,Pancreatic cancer,All the above,"(C) Pancreatic cancer # WHIPPLE'S PROCEDURE is pancreatico duodenectomy* Tumours of the ampulla have a good prognosis.* Duct cell cancers which are less than 4 cm in diameter, not involving the supeior mesenteric & or portal veins and with no evidence of multiple enlarged nodes or distant spread should be considered for resection.* The appropriate resection is that of a pylorus preserving pancreate duodenotomy with local lymphadenopathy.# Indications for a Whipple Procedure:> Most common indications include: Cancer of the head of the pancreas Cancer of the duodenum Cholangiocarcinoma (cancer of the bile duct) Cancer of the ampulla - an area where the bile and pancreatic duct enter into the duodenum. Whipple operation may also sometimes be performed for patients with benign (noncancerous) disorders such as chronic pancreatitis and benign tumors of the head of the pancreas.",C
Which of the following is an epileptogenic anesthetic agent?,Isoflurane,Sevoflurane,Methoxyflurane,Halothane,"Sevoflurane tends to act as pre-convulsant and induce seizures in ceain circumstances during deep anesthsia. It is also known to cause seizures even in patients with no history of seizure disorder. Ref: Pharmacology for anaesthesiologists By J. P. Howard Fee, J. G. Bovill, Page 49; Meyler's Side Effects of Drugs Used in Anesthesia By Jeffrey K. Aronson, Page 25; Electroencephalography by Ernst Niedermeyer, F. H. Lopes da Silva - 5th edition, Page 1156; The treatment of epilepsy By Simon D. Shorvon - 2nd edition, Page 281.",B
Management of an open clean wound seen 12 hours after the injury:,Suturing,Debridement and suture,Secondary suturing,Heal by granulation,"If the blood supply to the wound is adequate and bacterial invasion is absent, wound can be safely closed anytime following proper debridement and irrigation. If these established infection and tissue is of doubtful bility has been left in - situ, then the wound is left open and re-explored after 48 hours. If there is infection, and the doubtful ble tissue is now healthy, the deep tissues can be repaired and the wound is closed. If however there is fuher necrosis and infection, the wound is again debrided and left open.",B
Which one of the following does not cause deep vein thrombosis,Estrogen,Thrombocytosis,Venous stasis,Sickle cell Anemia,Sickle cell anemia does not cause DVT. They cause vaso-occlusive crisis by plugging the microcirculation (aggregate of Sickle cell are formed in the capillaries because of hypoxia).,D
All are characteristic of Nondepolarising Neuromuscular Blocker except-,Fade on Train of four stimulation,Tetanic Stimulation is followed by Post tetanic facilitation,Shows fasciculation,Reversed by Neostigmine,Fasciculation is seen with depolarizing neuromuscular blocker since they have agonistic effect on nicotinic cholinergic receptor. Nondepolarising neuromuscular blockers are competitive antagonist. Succinylcholine was first synthesized by Bovet in 1949 and released in 1951. Suxamethonium or succinyl choline is a: Depolarizing muscle relaxant Shoest acting muscle relaxant Muscle relaxant of choice for rapid sequence intubation,C
After a single episode of painless gross hematuria in a boy. Doctor performed an excretory urogram showing a filling defect towards the lower renal infundibulum 1.5 cm. in size. What will be the next investigation to be done -,Cystoscopy,Urine cytology,USG,Retrograde pyelography,"There can be various reason for a filling defect on IVP - stones, mass, cyst etc.
They can be very well be diagnosed by USG.",C
All can take split thickness graft except -,Fat,Muscle,Skull bone,Deep fascia,"'The skin graft must be applied to a well-vascularized recipient wound bed. It will not adhere to exposed bone, cartilage, or tendon devoid of periosteum, perichendrium or peritenon, respectively, or devoid of its vascularized perimembranous envelope.' - Sabiston 17/e p 2185",C
PIN index is a safety measure for gas cylinders. What is the PIN index for nitrous oxide?,6-Mar,5-Feb,5-Mar,6-Jan,"Pin Index safety system: To discourage incorrect cylinder attachments, a pin index safety system has been adopted by cylinder manufacturers. The relative positioning of the pins and holes is unique for each gas. Pin Index safety system for medical gas cylinders: Gas Index Pins Air 1 and 5 CO2 mix (CO2 <7%) 2 and 6 CO2 mix (CO2 >7%) 1 and 6 Cyclopropane 3 and 6 Ethylene 1 and 3 He-O2 (<80%) 2 and 4 He-O2 (>80%) 4 and 6 Nitrous oxide 3 and 5 Nitrogen 1 and 4 Oxygen 2 and 5 Ref: Morgan, Jr. G.E., Mikhail M.S., Murray M.J. (2006). Chapter 2. The Operating Room: Medical Gas Systems, Environmental Factors, & Electrical Safety. In G.E. Morgan, Jr., M.S. Mikhail, M.J. Murray (Eds), Clinical Anesthesiology, 4e.",C
A young patient presents with history of dysphagia more to liquid than solids. The first investigation you will do is:,Barium Swallow,Esophagoscopy,Ultrasound of the chest,C.T. Scan of the chest,"Ans. is 'a' i.e. Barium swallow H/O of dysphagia with more to liquids than solids suggests achalasia cardia. In all other obstructive causes of esophagus, dysphagia for solids is seen firstDiagnosis of Esophageal diseaseAny esophageal disease is first diagnosed by radiographic evaluation.Schwartz says that 'The first diagnostic test in patients with suspected esophageal disease should be a barium swallow including full assessment of the stomach and duodenum'Diagnostic modalities for esophagusDiagnostic procedures to detect structural abnormalities of esophagus: -Radiographic evaluation EndoscopyTests to detect functional anomalies: -Stationary manometry 24 hour ambulatory manometry Video and cineradiography Esophageal transit scintigraphyTests to detect increased exposure to Gastric juice - 24hr. ambulatory pH monitoring- 24hr. ambulatory bile monitoring - Standard acid reflux test.Imp. Radiological findings of OesophagusBirds beak appearance*- Achalasia cardiaCork screw esophagus- Diffuse esophageal spasmCurling esophagus*- Diffuse esophageal spasmRat tailed appearance*- Achalasia cardia",A
Hyoid bone is closely associated with -,Bronchiogenic cyst,Cystic hygroma,Thyroglossal cyst/fistula,Branchial cyst,"Hyoid bone is closely associated with the thyroglossal tract from which thyroglossal cyst & fistula originate, thus during surgical excision of the thyroglossal cyst or fistula, the central part of the hyoid bone is excised (otherwise recurrence may occur).",C
A patient with femoral hernia can be managed by:,Bassini repair,Hunters repair,Shouldice repair,McVAY repair,McVAY repair closes the femoral space is effective for femoral hernia where the use of prosthetic material is contraindicated.,D
Which of the following is true of Chicken pox?,Virus not found in scab,Virus can be grown on chick embryo,Caused by RNA virus,Does not cross the placental barrier,"(Virus not found in scab) Chicken pox Is an acute highly infectious disease caused by Varicella zoster virus. As a rule, infectious diseases are not communicable during the incubation period, except, measles, chicken pox, whooping cough and hepatitis A, which are common during the later pa of Incubation Period. A painful, vesicular, pustular 'dew-drops' like pleomorphic centripetal rash/eruptions in the distribution of one or more sensory nerve roots is characteristic feature (palms and soles usually not affected). The virus can be readily isolated from the vesicular fluid during the first three days of illness. Scabs begin to form 4-7 days after rash appears. The scabs are not infective. The secondary attack rate in household contacts approaches 90%. It is transmitted from person to person by droplet infection and nuclei, and most patients are infected by 'face to face' contacts. IP = 14-16 days. Infectivity of chicken pox and hence the duration of isolation for Chicken pox is until all lesions crusted: usually about 6 days after onset of rash from the onset of catarrhal stage.",A
Modality best utilized for neuromuscular monitoring during maintenance of anaesthesia is,Train of four,Single twitch,Tetanic stimulation,Post-tetanic stimulation,"Neuromuscular monitoring, also known as a train of four monitoring, is a technique used during recovery from the application of general anaesthesia to objectively determine how well a patient&;s muscles are able to function.",A
"A 19 year old female presents with pain in the neck for 5 days. She is not able to wear tie for her job because of neck pain. H/O fatigue and lethargy for 10 days. She had flu like symptoms 20 days ago which resolved spontaneously. BP 110/80 mmHg, Pulse 48/min. Extremities are cold and dry. Neck is very tender. ECG normal. TSH is elevated. ESR 30 mm/hr. Next appropriate step",Atropine injection,Levothyroxine administration,Aspirin,Increase iodine intake in food,"Answer: c) Aspirin (SCHWARTZ 19TH ED, P-1525; SABISTON 19TH ED, P-895)Granulomatous or Subacute or De Quervain's thyroiditisMost commonly occurs in 30- 40 year-old womenStrong association with the HLA-B35Fever with Sudden or gradual onset of neck painH/o preceding URI; Viral etiologyGland - enlarged, tender, firmClassically progresses through four stages: Hyperthyroid-Euthyroid-Hypothyroid-EuthyroidA few patients develop recurrent diseaseEarly stages: | ESR, Tg, T4, and T3 levels are elevated, TSH decreasedDuring Hypothyroid stage: elevated TSHLow radio-iodine uptakeFNAC - multinucleated giant cells of an epithelioid foreign body type and aggregates of lymphocytes activated macrophages, and plasma cellsSelf-limiting diseaseAspirin and NSAIDs are used for pain reliefPrednisolone for severe casesShort-term thyroid replacement may be needed and may shorten the duration of symptoms",C
What is TRUE regarding Barrett's esophagus -,Seen in females,Premalignant condition,Responds to conservative management,Squamous metaplasia is seen,"About option (a)


Barrett's esophagus is more common in men than in women (3 : 1 ratio)


About option (c)

Schwartz surgery and CSDT writes that Barrett's esophagus can be reversed but only with antireflux surgery (response to medications is not good). Read below lines from CSDT (13/e p438) Schwartz (9/e p841): CSDT writes-'A fundoplication may promote regression of the columnar epithelium. Many studies have shown that regression occurs in 15-50% of patients when the length of the Barrett segment is less than 3 cm.'
Schwartz writes- 'The common belief that Barrett's epithelium cannot be reversed is likely false. DeMeester and associates reported that, after antireflux surgery, loss of IM (intestinal metaplasia) in patients with visible BE was rare, but occurred in73% of patients with inapparent IM of the cardia. This suggests that the metaplastic process may indeed be reversible if reflux is eliminated early in its process, that cardiac mucosa is dynamic, and that, as opposed to IM extending several centimeters into the esophagus, IM of the cardia is more likely to regress following antireflux surgery.
Gurski and colleagues reviewed pre- and posttreatment endoscopic biopsies from 77 Barrett's patients treated surgically and 14 treated with PPIs. Histopathologic regression occurred in 28 of 77 patients (36.4%) following antireflux surgery, and in one of 14 (7.1%) patients treated with PPlsalone (P <.03). After surgery, regression from low-grade dysplastic to nondysplastic BE occurred in 17 of 25 (68%) patients and from IM to no IM in 11 of 52 (21.2%) patients. Both types of regression were significantly more common in short- (<3 cm) compared to long-segment (>3 cm) BE.
Although these studies do not conclusively prove the ability of antireflux surgery to reverse the changes of early BE, they do provide encouragement that, given early changes, the process may indeed be reversible.'
More about the tit of Barret's oesophagus

First, the natural course of Barrett's oesophagus.

-  Barrett's esophagus develops during healing of erosive esophagitis with continued acid reflux and the Barrett's esophagus progresses through a dysplastic stage before developing into adenocarcinoma. The stages are
-   Erosive esophagitis → Metaplasia (Barrett's esophagus) → Low grade dysplasia → high grade dysplaisa → Adenocarcinoma

Treatment of Barrett's esophagus is same as for reflux esophagitis → Conservative (antacids, H2 blocking agents, elevation of the head of bed, and avoidance of smoking and alcohol etc.) and Anti-reflux surgery (Nissen's fundoplication is anti-reflux procedure of choice)
As there is substantial increased risk of cancer with Barrett's esophagus, a regular follow-up with endoscopy and biopsy is done. This allows detection of cancer at an early stage with improved long-term survival after resection
In the absence of dysplasia → Surveillance endoscopy every 12-24 months.
In the presence of low-grade dysplasia →

Patients with low grade dysplasia should be treated for 12 weeks with high-dose acid suppression therapy and then biopsy repeated. (the rationale for this approach is to decrease the mucosal inflammation by blocking acid secretion, allowing the pathologist a more accurate reading),If the repeated biopsy show metaplasia or high-grade dysplasia, the patient should be managed accordingly. If repeated low-grade dysplasia is seen- surveillance endoscopy is done every 6-12 months.

If high grade dysplasia is detected (the diagnosis must be confirmed by two experienced pathologist) → esophagectomy with removal of all columnar lined epithelium

or
if resection is not done, then the patient should be strictly followed at 3 monthly interval. If cancer is detected resection is done.
Rationale for esophagectomy in high grade dysplasia is based on the following considerations-
(a) cancer is already present in about 30 to 50% of patients operated for high grade dysplasia.
(b) cancer develops in about 50% fo patients during follow up.)",B
Hernia prone to reoccur after primary repair:,Femoral,Epigastric,Spigelion,Incisional,"Ref: Sahiston Textbook of Surgery; 19th Edition, Pg: 3/. 1135. & Bailey & Love's Short Practice of Surgery, 25th Edition, 979.Explanation:- Incisional hernias have the highest recurrence rate if managed with primary repair.Incisional HerniaPrimary repair of incisional hernias can be doneWhen the defect is small <d'2 to 3 cm in diameter) and there is viable surrounding tissueIn cases in which the hernia was clearly a result of a technical error at the initial operation, such as a suture fracturing.Larger defects (>2 to 3 cm in diameter) have a high recurrence rate if closed primarily and are repaired with a prosthesis.Recurrence rates vary between 10% and 50% and are typically reduced by more than 50% with the use of prosthetic mesh.Epigastric hernias2-3 times more common in men.Located between the xiphoid process and umbilicus and are usually within 5 to 6 cm of the umbilicus.Common in individuals with a single aponeurotic decussation.The defects are small and often produce pain out of proportion to their size because of incarceration of preperitoneal fat.Multiple in up to 20% of patients and approximately 80% are in the midline.Repair usually consists of excision of the incarcerated preperitoneal tissue and simple closure of the fascial defect, similar to that for umbilical hernias.Small defects can be repaired under local anesthesia.Uncommonly, these defects can be sizable, can contain omentum or other intra-abdominal viscera, and may require mesh repairs.Spigelian herniaIt occurs through the spigelian fascia, which is composed of the aponeurotic layer between the rectus muscle medially and semilunar line laterally.Almost alt spigelian hernias occur at or below the arcuate line.The absence of posterior rectus fascia may contribute to an inherent weakness in this area.These hernias are often interparietal, with the hernia sac dissecting posterior to the external oblique aponeurosis.Clinical features and diagnosisMost Spigelian hernias are small 11 to 2 cm in diameter) and develop during the 4-7th decades of life.Patients often present with localized pain in the area without a bulge because the hernia lies beneath the intact external oblique aponeurosis.Ultrasound ur CT of the abdomen can be useful to establish the diagnosis.ManagementA spigelian hernia is repaired because of the risk for incarceration associated with its relatively narrow neck.The hernia site is marked before operation.Larger defects are repaired using mesh prosthesis.Recurrence is uncommonFemoral herniaA femoral hernia occurs through the femoral canal, which is bounded superiorly by the iliopubic tract, interiorly by Cooper's ligament, laterally by the femoral vein, and medially by the junction of the iliopubic tract and Cooper's ligament (lacunar ligament!.Recurrence of femoral hernia after operation is only 2%.There are three approaches to femoral hernia repair.The low operation (Lockwood). The sac is dissected out below the inguinal ligament via a groin crease incision.The high (McEvedy) operation Classically, a vertical incision is made over the femoral canal and continued upwards above the inguinal ligament.Lotheissen's operation (Inguinal Approach)The inguinal canal is opened as for inguinal herniorrhaphy.",D
