Question,A,B,C,D,Explanation,Answer
Glucose is linked to hemoglobin through,N linkage,O linkage,C-C linkage,O-H linkage,"The glycated hemoglobins are together called HbA1 fraction.Out of this 80% molecules are HbA1c, where glucose is attached to the N -terminal valine of beta chain of hemoglobin. The rest of molecules are HbA1a1, where fructose 1,6-phospate and HbA1a2, where glucose-6-phosphate are attached. REF :DM VASUDEVAN TEXTBBOK ,7th EDITION; Page no :328",A
Common for CCK and Gastrin:,Trophic action,CCK A receptor,Increases gastric emptying,Secretion is stimulated by fatty acids,"Gastrin stimulates mucosal growth of the stomach and small and large intestines (trophic action). CCK exes a trophic effect on the pancreas. Gastrin secretion is increased by the presence of the products of protein digestion in the stomach, paicularly amino acids. The secretion of CCK is increased by contact of the intestinal mucosa with the products of digestion, paicularly peptides and amino acids, and also by the presence in the duodenum of fatty acids containing more than 10 carbon atoms. Gastrin increases while CCK decreases gastric emptying.",A
Fe absorption increases by which vitamin?,Vitamin A,Vitamin C,Thiamine,Riboflavin,"(b) Vitamin CRef: Harper's illustrated biochemistry, 30th ed., pg. 541Inorganic iron is absorbed in the Fe2+ (reduced) state, and hence, the presence of reducing agents enhances absorption. The most effective compound is vitamin C, and while intakes of 40 to 80 mg of vitamin C per day are more than adequate to meet requirements, an intake of 25 to 50 mg per meal enhances iron absorption, especially when iron salts are used to treat iron deficiency anaemia. Alcohol and fructose also enhance iron absorption. Heme iron from meat is absorbed separately and is considerably more available than inorganic iron. However, the absorption of both inorganic and heme iron is impaired by calcium--a glass of milk with a meal significantly reduces iron availability.",B
Action potential is generated in excitable cells. These cells are:,Nerves,Muscle,Glands,All,"All of them. Ie., A Nerves; B i.e. Muscle; C i.e. Glands Action potential develops in excitable cells such as nerves (neurons), muscle (skeletal, smooth and cardiac), and other contractile tissues such as few glandsQ. Glial cells such as neuroglial cells do not generate action potential.",D
Coronal suture is placed between,Two parietal bones,Two halves of frontal bone,Frontal bone and two parietal bones,Occipital and two parietal bones,"1. Coronal suture: This is placed between the frontal bone and the two parietal bones. The suture crosses the cranial vault from side to side and runs downwards and forwards2. Sagittal suture: It is placed in the median plane between the two parietal bones. 3. Lambdoid suture: It lies posteriorly between the occipital and the two parietal bones, and it runs downwards and forwards across the cranial vault.4. Metopic suture: This is occasionally present in about 3 to 8% individuals. It lies in the median plane and separates the two halves of the frontal bone.Ref: Chaurasia; Volume 3; 6th edition; Chapter 1; Page no: 4",C
Virulence factor of group A beta hemolytic streptococci:-,Protein M,Protein T,Protein R,Lipotechoic acid,"Option 1 2 3 Cell wall antigens: Inner thick peptidoglycan layer (confers cell wall rigidity, induces inflammatory response and has thrombolytic activity) C-carbohydrate antigen: Present as middle layer and is group specific Outer layer of protein (M, T, R) and lipoteichoic acid (helps in adhesion) M protein - Major virulence factor of S pyogenes Option 4 Outer layer of lipoteichoic acid (helps in adhesion)",A
False regarding HMP shunt,NADPH is produced,Ribulose 5 phosphate is produced,ATP is produced,Occurs in cytosol,"Ans. is 'c' i.e., ATP is produced HMP shunt does not produce ATP. HMP shunt HMP shunt is a multicyclic process in which 3 molecules of glucose-6-phosphate give rise to 3 molecules of CO2 and 3 molecules of 5-carbon sugars (ribulose-5-phosphate). The latter are rearranged to generate 2 molecules of glucose-6-phosphate (through fructose-6-phosphate) and l molecule glyceraldehyde-3-phosphate. HMP shunt does not generate ATP. 3 Glucose-6-phosphate + 6 NADP - 2 glucose-6-phosphate + 1 glyceraldehyde-3-phosphate + 6 NADPH 3CO2 The reaction of HMP shunt are divided into two phases : - i) Phase I (Oxidative irreversible phase) : - During this phase, 3 molecules of glucose-6-phosphate are oxidized with generation of 6 molecules of NADPH, and three molecules of pentose phosphate (ribulose?5-phosphate), with liberation of three molecules of CO2. Metabolites produced during this phase are 6- phosphoglucanolactone, 6-phosphogluconate and ribulose-5-phosphate. ii) Phase II (Non-oxidative reversible phase) : - During this phase, pentose phosphate is conveed to intermediates of glycolysis, i.e., glucose-6-phosphate and glyceraldehyde-3-phosphate. Intermediary metabolites of this phase are xylulose-5-phosphate, ribose-5-phosphate, sedoheptulose-7-phosphate, erythrose-4- phosphate and fructose-6-phosphate. HMP shunt occurs in the cytosol. It is highly active in liver, adipose tissue, adrenal coex, lens, cornea, lactating (but not the nonlactating) mammary gland, Gonads (testis, ovary) and erythrocytes. Activity of this pathway is minimal in muscle and brain, where almost all of the glucose is degraded by glycolysis.",C
Fever occurs due to,IL1,Endorphin,Enkephalin,Histamine,"ref Robbins 8/e p61,66,9/e p83,90 IL-1 is intensely produced by tissue macrophages, monocytes, fibroblasts, and dendritic cells, but is also expressed by B lymphocytes, NK cells, microglia, and epithelial cells. They form an impoant pa of the inflammatory response of the body against infection. These cytokines increase the expression of adhesion factors on endothelial cells to enable transmigration (also called diapedesis) of immunocompetent cells, such as phagocytes, lymphocytes and others, to sites of infection. They also affect the activity of the hypothalamus, the thermoregulatory center, which leads to a rise in body temperature (fever) . That is why IL-1 is called an endogenous pyrogen. Besides fever, IL-1 also causes hyperalgesia (increased pain sensitivity), vasodilation and hypotension",A
"A 55-year-old man is admitted to the hospital with nausea, vomiting, and hematuria. A CT scan examination reveals a neoplasm in the posterior surface of the inferior pole of the left kidney that has invaded through the renal pelvis, renal capsule, ureter, and fat. To which of the following regions will pain most likely be referred?",Skin of the anterior and lateral thighs and femoral triangle,"Skin over the gluteal region, pubis, medial thigh, and scrotal areas","Skin over the medial, anterior, and lateral side of the thigh",Skin over the pubis and umbilicus,"Visceral pain from the kidneys and the ureter at the point of the neoplasm is mediated via T11 and T12 spinal cord levels. Therefore, pain is referred to these dermatomes leading to pain in the upper gluteal, pubic, medial thigh, scrotal, and labial areas (from subcostal and iliohypogastric nerves, in particular). In contrast, the umbilical region, the T10 dermatome, is supplied by the T10 spinal nerve, excluding it from being the correct answer. The dermatomes that supply the anterior and lateral thighs are of upper lumbar origin and would not receive pain referred from the kidneys.",B
Which of the following is not true about cardiopulmonary resuscitation (CPR)?,Closed chest massage is as effective as open chest massage,The success rate for out-of-hospital resuscitation may be as high as 30% to 60%,The most common cause of sudden death is ischemic hea disease,Standard chest massage generally provides less than 15% of normal coronary and cerebral blood flow,"Closed chest massage is not as effective as open-chest massage in normalizing blood pressure or perfusion of vital organs, and closed chest massage does generally deliver 5% to 15% of normal coronary and cerebral blood flow. The success rate for out-of-hospital resuscitation has been as high as 30% to 60% when communities are prepared to institute CPR early after a cardiac arrest. Ischemic hea disease is the most common cause of sudden death.",A
Child criteria doesnt include,Encephalopathy,ALT,Ascites,Albumin,Variables in Child-Turcotte-Pugh scoring system Serum albumin Bilirubin Prothrombin time Ascites Encephalopathy Ref: Sabiston 20th edition Pgno : 1436,B
This type of lesion occurs in weakness of which muscle?,Deltoid,Pectoralis major,Serratus Anterior,Infra scapular,"Ans. C. Serratus Anteriora. Winged scapula occurs due to damage to the serratus anterior muscle causes the deformation of the back.b. The serratus anterior muscle attaches to the medial anterior aspect of the scapula (i.e. it attaches on the side closest to the spine and runs along the side of the scapula that faces the ribcage) and normally anchor the scapula against the rib cage.c. When the serratus anterior contracts, upward rotation, abduction, and weak elevation of the scapula occurs, allowing the arm to be raised above the head.d. The long thoracic nerve innervates the serratus anterior; therefore, damage to or impingement of this nerve can result in weakening or paralysis of the muscle.e. If this occurs, the scapula may slip away from the rib cage, giving it the wing-like appearance on the upper back.f. This characteristic may particularly be seen when the affected person pushes against resistance. The person may also have limited ability to lift their arm above their head.Causes:a. The most common cause of scapular winging is anterior paralysis. This is typically caused by damage (i.e. lesions) to the long thoracic nerve.b. This nerve supplies the serratus anterior, which is located on the side of the thorax and acts to pull the scapula forward.c. Serratus anterior palsy is a dysfunction that is characteristic of traumatic, non-traumatic, and idiopathic injury to the long thoracic nerve",C
Which of following Clostridia is non-invasive -,Clostridium novyi,Clostridium botulinum,Clostridium perfringens,Clostridium tetani,"Ans. is 'b > d' i.e., Clostridium botulinum > Clostridium tetani o Their invasive power is different in different species :Cl. botulinumo Virtually noninvasive and noninfectious.o Botulism is due to ingestion of preformed toxin.Cl. tetanio Has little invasive power and is confined to the primary site of lodgemento Tetanus results from the action of the potent exotoxinGas gangrene clostridiao Invasive and can spread along tissue.o Gas gangrene (clostridial myonecrosis) is caused by Cl perfringens/welchii, Cl septicum, Cl novyi and Cl histolyticum.",B
Brain perfusion means,Mean aerial pressure - Intracranial pressure,Mean aerial pressure + Intracranial pressure,Mean aerial pressure - CVP,Mean aerial pressure + CVP,"MAP is the average blood pressure during one cardiac cycle and can be directly measured through invasive hemodynamic monitoring or can be calculated as the systolic blood pressure, plus two times the diastolic blood pressure, divided by three. The normal range of MAP is 70 to 100 mm Hg. Ref: guyton and hall textbook of medical physiology 12 edition page number:813,814,815",A
"In a five year old child, which of the following foramen is located in posterior cranial fossa?",Jugular Foramen,Foramen Rotundum,Foramen Spinosum,Foramen Lacerum,"Except Option 1 - jugular foramen, all the other options/foramina are found in middle cranial fossa.
Jugular foramen is found in posterior cranial fossa. It lies at posterior end of petro-occipital fissure.",A
True regarding abdominal autonomic plexus are A/E,Aoicorenal ganglion is pa of celiac ganglion,Greater splanchnic is sympathetic root,Lesser splanchnic is parasympathetic root,Posterior vagal is parasympathetic root,"C i.e. Lesser splanchnic is parasympathetic rootCeliac plexus, is a type of aoic plexus located around the origin of celiac aery from abdominal aoa. Because the celiac trunk arises from the front of abdominal aoa at T12-L1 disc level. So the celiac plexus lies retroperitoneally over the anterolateral aspect of abdominal aoa at the level of T12-L1 vetebraeQ.Celiac plexus, renal plexus, superior mesenteric plexus & inferior mesenteric plexus are aoic plexuses situated around the origins of celiac, renal, superior mesenteric & inferior mesenteric aeries from abdominal aoa respectively.",C
Reverse transcriptase is a RNA dependent DNA polymerase. Which of the following uses reverse transcriptase?,Hepatitis A virus,Hepatitis B virus,Hepatitis C virus,Hepatitis E virus,"Ans. b. Hepatitis B virus (Ref: Ananthanarayan 9/e p544, 8/e p540; Harrison 19/e p2005; Robbins 9/e p831-832)Hepatitis B virus uses reverse transcriptase.Hepatitis B virus: A polymerase (Pol) that exhibits both DNA polymerase activity and reverse transcriptase activity. Genomic replication occurs via an intermediate RNA template, through a unique replication cycle: DNA - RNA - DNA. '--Robbins 9/e p832'The third of the HBV genes is the largest, the Pgene, which codes for the DMA polymerase: as noted above, this enzyme has both DMA-dependent DMA polymerase and RMA-dependent reverse transcriptase activities. '--Harrison 19/e p2005Hepatitis B virus Genes & AntigensGeneAntigen ProducedC geneHBcAg (Hepatitis B core antigen)QC & Pre C genesHBeAg (Hepatitis B e antigen) QS geneHBsAg (Hepatitis B surface antigen): large, middle & small HBsAg QP geneDNA polymerase (pol) & reverse transcriptase QX geneHBxAg: virus replication & transcriptional transactivator Q",B
All of these are actions of Atrial Natriuretic Peptide except:,Afferent arteriole dilation,Mesangial constriction,Decreased sodium absorption in PCT,Inhibition of sodium reabsorption in medullary collecting duct,"Ans. b. Mesangial constriction (Ref: Ganong 24/e p707)ANP causes mesangial relaxation leading to sodium excretion, not the mesangial constriction.'ANP and BNP in the circulation act on the kidney's to increase Na+ excretion and injected CNP has a similar effect. They appear to produce this effect by dilating afferent arterioles and relaxing mesangial cells. Both of these actions increase glomerular filtration. In addition, they act on the renal tubules to inhibit Na+ reabsorption. Other actions include an increase in capillary permeability, leading to extravasation of fluid and a decline in blood pressure. In addition, they relax vascular smooth muscle in arterioles and venules. CNP has a greater dilator effect on veins than ANP and BNP. These peptides also inhibit renin secretion and counteract the pressor effects of catecholamines and angiotensin II. '-- Ganong 24/e p707Natriuretic HormonesTwo natriuretic hormones are secreted by the heart. The muscle cells in atria and, to a much lesser extent in the ventricles, contain secretory granules.Granules increase in number when NaCI intake is increased and ECF expanded, and extracts of atrial tissue cause natriuresis.Atrial Natriuretic Peptide (ANP)* Isolated from atria & brainQBrain natriuretic peptide (BNP; B-type natriuretic peptide)* Present in ventricles (mainly) & brain in humansQC-type natriuretic peptide (CNP)* Present in brain, pituitary, kidneys & vascular endothelial ceilsQActions of Natriuretic HormonesANP& BNP in the circulation act on kidneys to increase Na+ excretion and injected CNP has a similar effect. They appear to produce this effect by dilating afferent arterioles and relaxing mesangial cells. Both of these actions increase glomerular filtrationQ.In addition, they act on renal tubules to inhibit Na+ reabsorptionQOther actions include an increase in capillary permeability, leading to extravasation of fluid and a decline in blood pressure. In addition, they relax vascular smooth muscle in arterioles and venulesQ.CNP has a greater dilator effect on veins than ANP and BNP. These peptides also inhibit renin secretion and counteract the pressor effects of catecholamines & angiotensin lIQ.In the brain, ANP is present in neurons, and an ANP-containing neural pathway projects from part anteromedial of hypothalamus to areas in lower brain stem that are concerned with neural regulation of cardiovascular systemQIn general, the effects of ANP in the brain are opposite to those of angiotensin II, and ANP-containing neural circuits appear to be involved in lowering BP and promoting natriuresisQ.",B
Main lipid component of chylomicrons is,Triacylglycerols,Phospholipids,Cholesterol,Free fatty acids,"Plasma lipids consist of triacylglycerols (16%), phospholipids (30%), cholesterol (14%), and cholesteryl esters (36%) and a much smaller fraction of unesterified long-chain fatty acids (free fatty acids or FFA) (4%). The FFA is metabolically the most active of the plasma lipids. Lipoprotein Source Main Lipid Components Apolipoproteins Chylomicrons Intestine Triacylglycerol A-I, A-II,A-IV, B-48, C-I, C-II, C-III, E Chylomicron remnants Chylomicrons Triacylglycerol, phospholipids, cholesterol B-48, E VLDL Liver (intestine) Triacylglycerol B-100, C-I, C-II, C-III IDL VLDL Triacylglycerol, Cholesterol B-100, E LDL VLDL Cholesterol B-100 HDL Liver, intestine, VLDL, chylomicrons Phospholipids, cholesterol A-I, A-II, A-IV, C-I, C-II, C-III, D, E Albumin/free fatty acids Adipose tissue Free fatty acids Reference: Harper; 30th edition; Page no: 254",A
Functional residual capacity of lung is defined as:,Volume expired after normal expiration,Volume remaining after forced expiration,ERV + RV,Tidal volume + volume inspired forcefully,"C i.e. ERV + RV VOLUME Tidal volume 500 m1Q Is the air that moves into the lung (T.V) n,ith each normal inspiration or the volume of air that moves out of lung with each expiration Inspiratory 3300 m1Q The air inspired with a maximal reserve inspiratory effo in excess of tidal volume (IRV) volume Expiratory 1000 inlQ The air expelled with a maximal reserve expiratory effo in excess of tidal volume (ERV) volume Residual 1200 m1Q The amount of air remaining in the Volume (RV) lungs even after forced expiration CAPACITIES Inspiratory capacity I 3800 ml. Total amount of air that can be C=TV+ IRV breathed in. Vital capacity(VC) 4800 ml. Maximal amount of air that can =TV+ IRV+ERV be expelled out force fully after a =IC + ERV maximal (deep) inspiration Functional residual 2200 ml. It is the volume of air remaining capacity in the lung after normal FRC=ERV+RV expiration (after normal tidal expiration) Total lung capacity 6000 ml. The amount of air present in the (TLC) (4.2-6 lung after a maximal inspiration. =TV+IRV+ERV+RV UN) This is the maximum volume to =VC + RV which the lungs can be expandedQ =IC + FRC",C
"Venous return to heart during quiet standing is facilitated by all of the following factors, except",Calf muscle contraction during standing,Valves in perforators,Sleeves of deep fascia,Gravitational increase in arterial pressure,"With gravitational force while standing, the venous return is reduced.",D
Bile acids are synthesized from:,Arachidonic acid,Linoleic acid,Linolenic acid,Acetyl CoA,"Bile acids are synthesized from cholesterol (by modification of side chain), which is synthesized from Acetyl CoA. Bile acids consists of Deoxycholic acid, Lithocholic acid and Chenodeoxycholic acid. Bile acids are more appropriately called bile salts Present in deprotonated form Made in liver (RLE is 7-a-Hydroxylase) Stored in gall bladder, Emulsify the dietary fat which increases the surface area.",D
A 2 years old child is brought to the emergency with history of fever and vomiting. On examination he has neck rigidity. The CSF examination shows polymorphs more that 2000/m1 protein 100 mg/dl and glucose 10mg/d1. The Gram stain shows the presence of Gram negative coccobacilli. The culture shows growth of bacteria only on chocolate agar and not on blood agar. The caustive agent is ?,Neisseria meningitides,Haemophilus influenzae,Branhamella catarrhalis,Legionella pneumophila,"Ans. is 'b' i.e., Haemophilus influenzae . The impoant clues in this question are ? The organism is gram negative coccobacilli. It grows only on chocolate agar and not on blood agar. Causing meningitis in children. . Haemophilus influenzae : - Gram negative Coccobacilli - Can not grow in blood agar because utilization of V factor (NAD or NADP) is limited by the presence of serum NADase. - Grows well on chocolate agar (blood agar which is heated up to 70-80degC) because, on heating extra X and V factors are liberated from the lysed red cells. - Is a common cause of meningitis in children. About other options - N. Meningitis . It occur as diplococci (not coccobacilli) . It can grow on blood agar. - Legionella pneumophilia . Does not cause meningitis. - Bramanhella catarrhalis . It occur as diplococci (not coccobacilli) . It can grow on blood agar.",B
The nerve root value of knee jerk reflex is,T12 L1 L2,L2 L3 L4,L5S1,S2 S3,"(B) L2 L3 L4 > Knee Jerk reflex: Striking the patellar tendon with a tendon hammer just below the patella stretches the sensory nerve fiber of the femoral nerve which synapses (without interneurons) at the level of L4 in the spinal cord, completely independent of higher centres.> From there, an alpha-motor neuron conducts an efferent impulse back to the quadriceps femoris muscle, triggering contraction.> This contraction, coordinated with the relaxation of the antagonistic flexor hamstring muscle causes the leg to kick> This reflex helps maintain posture and balance, allowing one to walk without consciously thinking about each step.> The patellar reflex is a clinical and classic example of the monosynaptic reflex arc.> There is no interneuron in the pathway leading to contraction of the quadriceps muscle.> Instead the bipolar sensory neuron synapses directly on a motor neuron in the spinal cord. However, there is an inhibitory interneuron used to relax the antagonistic hamstring muscle.> It tests L2, L3, and L4.",B
Which of the following relays interneurons on anterior horn cell ?,Muscle spindle,Coicospinal tract,Spinothalamic tract,Spinocerebellar tract,"Ans. is 'b' i.e., Coicospinal tractCoicospinal tract terminates on a-motor neuron (anterior or ventral horn cells) interneuron.PYRAMIDAL TRACT (COICOSPINAL TRACT)Coicospinal tract is the most impoant tract through which the motor coex controls the activity of the ventral horn cells (a-motor neurons) in the spinal cord. It is also called pyramidal tract because they form the pyramid of the medulla.The coicospinal tract originates about 30 percent from primary motor coex, 30 percent from premotor areas (premotor coex & supplementary motor area) and 40% from the somatosensory area. So, there are 40% sensory fibers in the coicospinal tract.After leaving the coex, it passes through the posterior limb of internal capsule and then downward through the brainstem, forming the pyramids of medulla. The majority (80%) of the pyramidal fibers then cross the lower medulla to the opposite side and descend as the lateral coicospinal tract and finally terminating principally on the interneuron in the intermediate region of gray matter. Some also terminate directly on the a-motor neuron, especially those concerned with skilled movement.A few fibers (20%) do not cross to the opposite in the medulla and descend ipsilaterally as anterior (ventral) coicospinal tract.The most impressive fibers in the pyramidal tract are a population of large (16 pm) myelinated fibers which originate from Giant pyramidal cells, called Betz cells, that are found only in primary motor coex. These fibers transmit the nerve impulses to the spinal cord at fastest speed. However, these fibers form only 3% of the total. The other 97% are mainly fibers smaller than 4 m in diameter that conduct background tonic signals to the motor areas of the cord.Coricospinal tract is concerned with voluntary activities of body- Voluntary control of movement is absolutely dependent on the activity of coicospinal fibers.",B
Effect of transaction of pons at superior level affects respiration by which of the following?,It becomes slower and deeper,Apneustk breathing,Breathing ceases,Irregular & gasping,"ANSWER: (A) It becomes slower and deeperREF: Ganong 23rd Ed Ch 37, Guyton 11th ed page 514-515, Human Physiology: From Cells to Systems by Lauralee Sherwood 7th ed page 499-500Indirect repeat Physiology 2013 Session 1 (See for Details of Respiratory centres)",A
Erythroblastosis-foetalis is a example of which type of hypersensitivity reaction:,Type I,Type II,Type III,Type IV,"(Type II) (161 -AN7th) (201-CP)Type II reaction - The antibody is directed against an epitope that can be microbial product passiely adsorbed on to a cell or a drug or a self molecule. Both IgG and IgM antibodies are produced in type II reaction. The antibody attaches to the antigen via Fab region of Ab. As a result, Type II reaction may be complement mediated lysis of cells as occurs in Autoimmune hemolytic anemia, ABO transfusion reaction or Rh haemolytic disease.Examples1. Isoimmune reaction - such as ABO transfusion reactions Eiythroblastosis foetalis2. Autoimmune reaction - Autoimmune haemolytic anemia, agranulocytosis or thrombocytopenia.",B
Mitochondrial membrane protein contain transporter of,NADH,Acetyl COA,NADPH,ATP,"The carrier proteins in inner mitochondrial membrane (IMM) are highly specific in their action. They permit movement of several molecules that are important for cellular function, such as ATP, H+, malate, pyruvate, citrate, glutamate, aspartate, a-ketoglutarate and phosphate.
It should be remembered that though shuttle systems move NADH produced in the cytosol into the mitochondria, there is no direct transporter for NADH. First reducing equivalent of NADH is transferred to malate which then is transported into the mitochondria and returns the reducing equivalent to mitochondrial NAD+ to form NADH. So, NADH is not transported but for one NADH produced in the cytosol one NADH is produced inside the mitochondria after transport of reducing equivalent by shuttle system.",D
Maximum energy is liberated by the hydrolysis of,Creatine phosphate,ATP,Phosphenol pyruvate,G-6-P,"Step 8 of Glycolysis - i. 2-phosphoglycerate is conveed to phosphoenol pyruvate by the enzyme enolase. One water molecule is removed. ii. A high energy phosphate bond is produced,so when it is hydrolysed max.energy is liberated. The reaction is reversible. iii. Enolase requires Mg++, and by removing magnesium ions, fluoride will irreversibly inhibit this enzyme. Thus, fluoride will stop the whole glycolysis. So when taking blood for sugar estimation, fluoride is added to blood. If not, glucose is metabolized by the blood cells, so that lower blood glucose values are obtained. Ref:DM VASUDEVAN TEXTBOOK OF BIOCHEMISTRY,EIGHTH EDITION,PG.NO.,131.",C
In which of the following reactions is magnesium required,ATPase,Dismutase,Phosphatase,Aldolase,"Magnesium is required for kinases (e.g. hexokinase, PFK, creatine kinase),phosphatases (glucose-6-phosphatase), enolase.",C
Major histocompatibility complex class 1 is seen on which of the following cells,Macrophage only,All body cells,B cell only,All blood cells except erythrocytes,"Ref Robbins 9/e p205 MHC class I molecules are one of two primary classes of major histocompatibility complex (MHC) molecules (the other being MHC class II) and are found on the cell surface of all nucleated cells in the bodies of jawed veebrates. They also occur on platelets, but not on red blood cells.",A
Dengue hemorrhagic fever is caused by -,Type I dengue virus,Reinfection with same serotype of dengue virus,Reinfection with different serotype of dengue virus,Infection in an immunocompromised host,Hypersensitivity or enhancement response to sequintial dengue virus infection in person sensitised by prior exposure to other serotupes of the viru REF:\p> ANATHANARAYANAN MICROBIOLOGY NINTH EDITION PAGE.523,C
Cells which surround the oocyte in Graafian follicle are called:,Discus proligerus,Cumulus oophorus,Luteal cells,Villus cells,"Oocyte lies eccentrically in the ovarian (Graafian) follicle surrounded by some granulosa cells called cumulus oophorus. Discus proligerus is the attachment point of the cumulus oophorus to the most peripheral granulosa cells of an antral follicle. Large fluid-filled antrum (A) Cumulus oophorus (CO) Membrane granulose (stratum granulose, SG)",B
Immunoglobulin present in local secretions is?,IgG,IgA,IgM,IgD,ANSWER: (B) IgAREF: Robb in s 8th ed chapter 6See APPENDIX-20 for 'IMMUNOGLOBULINS'Repeat (***)IgA is present in body in two forms; serum IgA and secretory IgA.,B
Regarding nitric oxide false is,Derived from endothelium,Acts by increasing c–AMP levels,Vasodilator,Derived from arginine,"Nitric oxide is formed from Arginine, released from endothelial cells and acts through cGMP to cause vasodilation.",B
Neurons located in which area release serotonin as their neurotransmitter?,Periaqueductal gray area,Interneurons of the spinal cord,Periventricular area,Nucleus raphe magnus,"Neurons of the nucleus raphe magnus release serotonin at their nerve endings. These terminate in the spinal cord on interneurons that in turn release enkephalin and block the incoming signals from the pain fibers. The analgesia system consists of three major components: Periaqueductal gray and periventricular areas of the mesencephalon and upper pons. Raphe magnus nucleus, a midline nucleus located in the lower pons and upper medulla. Dorsal pain inhibitory complex (interneurons) located in the spinal cord.",D
Waterhouse-Friderichsen syndrome is seen in,Pneumococci,Neisseria meningitidis,Pseudomonas,Yersinia,"Fulminant meningococcemia caused by Neisseria meningitidis is called Waterhouse Friderichsen syndrome. Fatal condition - characterized by shock, disseminated intravascular coagulation and multisystem failure. Meningococcal disease is ored by the deficiency of the terminal component (C5-C9). Reference: Textbook of Microbiology; Anathanarayan and panicker's; 10th edition; Page no: 232",B
Most common symptom of tetanus is -,Tonic-clonic seizures,Hemplegia,Lock-jaw,Opisthotonus,"Ans. is 'c' i.e., Lock-jaw o Generalized tetanus is the most common form of tetanus, involvement of masseter muscles (trismus or lock jaw) is the presenting sign is most patients.o Other features include -i) Risus sardonicus : sardonic smile that results from sustained contraction of facial musclesii) Opisthotonus : spasm of back muscle causes backwards curving of bodyiii) Drooling, sweating, irritabilityiv) Cardiac arrhythmias and fluctuation in BPv) Generalized increase in muscle tore",C
Antemoem diagnosis of rabies is made with:,Rabies virus specific antibodies,Inoculation in culture media,Negri bodies in hippocampus,Corneal impression smear,Ante moem diagnosis | Cornual impression smear Hair follicle from Nape of neck and of DFAT,D
"During the formation of hydroxyproline and hydroxylysine, the essential factors required is/are",Pyridxal phosphate,Ascorbic acid,Thiamine pyrophosphate,Methylcobalamine,"In Collagen Synthesis: Vitamin C is required for the post-translational modification, Hydroxylation of lysine and Proline Vitamin C plays the role of a coenzyme The hydroxylation reaction is catalysed by lysyl hydroxylase (for lysine) and prolyl hydroxylase (for proline) this reaction is dependent on vitamin C(ascorbic acid), molecular oxygen and alpha-ketoglutarate Hydroxyproline and hydroxylysine are essential for the collagen cross-linking and the strength of the fibre Ref: Satyanarayana 4th ed page 132",B
Middle meningeal aery arises from,Middle cerebral aery,Superior temporal aery,Facial aery,Maxillary aery,"Middle meningeal aeryIt is typically the third branch of the first pa (retromandibular pa) of the maxillary aery, one of the two terminal branches of the external carotid aery.After branching off the maxillary aery in the infratemporal fossa, it runs through the foramen spinosum to supply the dura mater and the calvaria.The middle meningeal aery is the largest of the three (paired) aeries which supply the meninges, the others being the anterior meningeal aery and the posterior meningeal aery.",D
Arterial O2 content is reduced in one of the following,Stagnant hypoxia,Anemic hypoxia,Histotoxic hypoxia,Ischemic hypoxia,"Ans. (b) Anemic hypoxia(Ref: Ganong, 25th ed/p.646)Characterized by reduction in hemoglobin concentration and decline in the O2 -carrying capacity of the blood (reduced arterial O2 content)Anemic hypoxia is seen in Carbon monoxide poisoning and methemoglobinemia",B
Which of the following statements about GLUT is false?,GLUT-2 is needed in brain,GLUT-3 is present in placenta,GLUT-4 is present in adipose tissue,GLUT-3 is present in both intestine and testis,"GluT2 present in the serosal surface of intestinal cells, liver, beta cells of the pancreas. GluT3 present in neurons, and brainRef: DM Vasudevan, 7th edition, page no: 106",A
Reconstructive surgery for Choledochal cyst is not done in,Type I,Type II,Type III,Type IV,According to Todani Modification of Alonso-Lej classification Type III : is Cystic dilation of intra duodenal poion of common bile duct (choledochocele) Treatment : Endoscopic sphincterectomy and cyst unroofing Ref: Sabiston 20th edition Pgno :1510-1511,C
Botulisim causes -,Descending flaccid paralysis,Descending spastic paralysis,Ascending paralysis,Ascending spastic paralysis,"Ans. is 'a' i.e., Descending flaccid paralysis o Botulism causes acute descending paralysis of flaccid type (Areflexia).o Symptoms begin 18 - 24 hrs after ingestion of toxic food with cranial nerve involvement. These are -DiplopiaDysarthriaDysphagiao Symmetric descending paralysis is characteristic and can lead to respiratory failure and death,o Sites of action - NM Junction, post gang parasymp nerve endings & peripheral gangliao Nausea, vomiting, abdominal paino Dizziness, dry moutho Ptosis is frequento Paralytic ileus, constipation and urinary retention are commono The gag reflex may be suppressed and deep tendon reflexes may be normal or decreased,o Pupillary reflex may be depressed or fixed.",A
Torus aorticus involves:,Left atrium,Arch of aorta,Ascending aorta,Right atrium,"Ans. d (Right atrium). (Ref. Grey, Anatomy, 36th ed., 644)Torus aorticusAnterosuperior part of septal wall of right atrium bulges to some degree into the atrial cavity as torus aorticus. It is caused by proximity of right posterior aortic sinus and cusp.Torus auditoryThe postero-inferior wall of external meatus occasionally presents a smooth to roughened longitudinal elevation, known as auditory torus.Torus mandibularisAbove myelohyoid line, the bone medial to roots of molar teeth is sometimes developed into a rounded ridge called torus mandibularis.Torus palatineIntermaxillary sutures are sometimes raised forming a longitudinal midline ridge.Torus maxillarisIt is occasionally present on the alveolar process spanning the palatal aspect of subcervical roots of upper molar teeth.",D
